ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
430700,유안타제9호스팩,KOSDAQ,SPAC(소속부없음),2080,-5,-0.24,2095,2095,2075,0,13070895,10899200000,5
3470,유안타증권,KOSPI,,2980,-105,-3.4,3080,3080,2930,1,1959049900,5.95E+11,200
3475,유안타증권우,KOSPI,,2610,-60,-2.25,2690,2690,2580,0,98070030,33700873320,13
263770,유에스티,KOSDAQ,투자주의환기종목(소속부없음),3380,-55,-1.6,3415,3435,3370,0,71970215,80106581360,24
337840,유엑스엔,KONEX,일반기업부,14330,50,0.35,14350,14350,14000,0,1252830,52353809530,4
72130,유엔젤,KOSPI,,4650,80,1.75,4640,4650,4590,0,1064978930,61358861100,13
220,유유제약,KOSPI,,6350,-50,-0.78,6450,6450,6320,0,164630530,1.09E+11,17
225,유유제약1우,KOSPI,,7570,30,0.4,7540,7610,7520,0,10075610,17160660100,2
227,유유제약2우B,KOSPI,,15990,80,0.5,15990,15990,15990,0,495690,5205704400,0
388720,유일로보틱스,KOSDAQ,벤처기업부,27050,-200,-0.73,27600,27750,26750,0,5163329300,2.32E+11,9
340930,유일에너테크,KOSDAQ,벤처기업부,17680,370,2.14,17480,18090,17410,0,1771417550,1.90E+11,11
23410,유진기업,KOSDAQ,우량기업부,3735,0,0,3770,3770,3725,0,190129645,2.89E+11,77
56080,유진로봇,KOSDAQ,중견기업부,5550,-220,-3.81,5780,5780,5500,1,3683856330,2.08E+11,38
373340,유진스팩6호,KOSDAQ,SPAC(소속부없음),2165,0,0,2140,2180,2135,0,1454615,6538300000,3
388800,유진스팩7호,KOSDAQ,SPAC(소속부없음),2060,-5,-0.24,2060,2060,2055,0,8143905,10320600000,5
413630,유진스팩8호,KOSDAQ,SPAC(소속부없음),2040,5,0.25,2030,2040,2025,0,7458485,12076800000,6
442130,유진스팩9호,KOSDAQ,SPAC(소속부없음),2040,-15,-0.73,2055,2055,2035,0,2264570,7058400000,3
84370,유진테크,KOSDAQ GLOBAL,우량기업부,27850,500,1.83,27350,28400,27050,0,4481560400,6.38E+11,23
1200,유진투자증권,KOSPI,,2895,-85,-2.85,2980,2990,2885,0,495826495,2.80E+11,97
