itemCode,stockItemName,marketSegmentation,presence,closingPrice,prepare,fluctuationRate,openPrice,highPrice,lowPrice,tradingVolume,transactionAmount,marketCap,numberOfListedShares
14710,사조씨푸드,KOSPI,,5350,-60,-1.11,5390,5530,5330,83721,454,92119,17218543
6090,사조오양,KOSPI,,8340,-60,-0.71,8370,8390,8340,1173,10,78586,9422739
419120,산돌,KOSDAQ,중견기업부,14440,-180,-1.23,14690,14860,14410,90977,1329,110781,7671826
100090,삼강엠앤티,KOSDAQ,중견기업부,20300,-350,-1.69,20350,20450,20150,120366,2439,1080671,53235012
122350,삼기,KOSDAQ,중견기업부,3770,-85,-2.2,3815,3815,3725,469141,1768,144540,38339428
419050,삼기이브이,KOSDAQ,중견기업부,25300,-1550,-5.77,25850,26350,25150,1320404,34061,361766,14299060
14970,삼륭물산,KOSDAQ,중견기업부,5320,-20,-0.37,5340,5340,5250,10299,55,80465,15125000
18310,삼목에스폼,KOSDAQ,우량기업부,16670,-240,-1.42,16910,16990,16620,8205,137,245049,14700000
53700,삼보모터스,KOSDAQ,중견기업부,5580,-10,-0.18,5660,5660,5500,107013,599,107873,19332003
9620,삼보산업,KOSDAQ,중견기업부,1086,63,6.16,1063,1118,1033,953926,1032,49148,45255561
23600,삼보판지,KOSDAQ,우량기업부,10710,-20,-0.19,10730,10730,10660,1504,16,173181,16170000
1470,삼부토건,KOSPI,,1258,-9,-0.71,1270,1270,1255,522891,658,248673,197673375
6400,삼성SDI,KOSPI,,710000,-4000,-0.56,707000,715000,704000,64898,46027,4.88E+07,68764530
6405,삼성SDI우,KOSPI,,323000,0,0,323000,324000,319500,749,241,522580,1617896
6660,삼성공조,KOSPI,,9990,-20,-0.2,9940,10000,9910,1777,18,81182,8126314
380320,삼성머스트스팩5호,KOSDAQ,SPAC(소속부없음),3335,5,0.15,3320,3345,3300,14534,48,16041,4810000
28260,삼성물산,KOSPI,,114200,100,0.09,113600,114900,112700,121679,13829,2.13E+07,186887081
02826K,삼성물산우B,KOSPI,,102100,-100,-0.1,102300,102600,101600,728,74,166160,1627425
207940,삼성바이오로직스,KOSPI,,812000,1000,0.12,809000,814000,803000,14597,11799,5.78E+07,71174000
32830,삼성생명,KOSPI,,67200,0,0,66900,67500,66700,95991,6444,1.34E+07,200000000
377630,삼성스팩4호,KOSDAQ,SPAC(소속부없음),5070,-20,-0.39,5090,5090,4800,30152,149,20381,4020000
425290,삼성스팩6호,KOSDAQ,SPAC(소속부없음),3250,10,0.31,3230,3270,3205,56925,184,17940,5520000
439250,삼성스팩7호,KOSDAQ,SPAC(소속부없음),10120,-30,-0.3,10200,10200,10110,22865,232,35440,3502000
18260,삼성에스디에스,KOSPI,,124900,-200,-0.16,125400,126400,124400,29306,3664,9664487,77377800
28050,삼성엔지니어링,KOSPI,,25850,-100,-0.39,25800,25950,25300,265823,6815,5066600,196000000
9150,삼성전기,KOSPI,,147500,-1400,-0.94,147400,147800,145600,157384,23115,1.10E+07,74693696
9155,삼성전기우,KOSPI,,69800,-200,-0.29,69500,69900,69200,702,49,202907,2906984
5930,삼성전자,KOSPI,,62500,-1300,-2.04,62800,63000,62400,5635811,353020,3.73E+08,5969782550
5935,삼성전자우,KOSPI,,56100,-1000,-1.75,56500,56600,56000,156885,8820,4.62E+07,822886700
1360,삼성제약,KOSPI,,2845,-45,-1.56,2890,2890,2830,70122,199,191076,67162079
10140,삼성중공업,KOSPI,,5760,-80,-1.37,5830,5830,5670,2309681,13234,5068800,880000000
10145,삼성중공우,KOSPI,,191300,-3700,-1.9,194000,194000,188800,678,129,21970,114845
16360,삼성증권,KOSPI,,33850,-400,-1.17,34200,34200,33500,55265,1863,3022805,89300000
68290,삼성출판사,KOSPI,,26750,-200,-0.74,26750,27100,26650,23990,644,267500,10000000
29780,삼성카드,KOSPI,,30700,-200,-0.65,31050,31050,30550,17519,537,3556868,115858891
810,삼성화재,KOSPI,,203500,-1500,-0.73,204000,204500,201000,26758,5422,9640779,47374837
815,삼성화재우,KOSPI,,156300,-700,-0.45,157000,157000,155700,1294,202,498910,3192000
6110,삼아알미늄,KOSPI,,38650,-650,-1.65,39150,39500,38200,126075,4891,425150,11000000
9300,삼아제약,KOSDAQ,우량기업부,17710,-410,-2.26,18140,18140,17650,17402,310,112813,6370000
145990,삼양사,KOSPI,,41500,150,0.36,41350,41500,40800,2608,107,428008,10313449
145995,삼양사우,KOSPI,,29900,-100,-0.33,30000,30000,29900,212,6,11065,370070
3230,삼양식품,KOSPI,,120200,-600,-0.5,120100,121300,120000,5355,646,905468,7533015
225190,삼양옵틱스,KOSDAQ,우량기업부,10300,-100,-0.96,10410,10410,10260,3350,35,104542,10149688
2170,삼양통상,KOSPI,,50800,-100,-0.2,50900,51200,50800,434,22,152400,3000000
272550,삼양패키징,KOSPI,,18250,80,0.44,18170,18250,18170,300,5,288143,15788671
70,삼양홀딩스,KOSPI,,72700,300,0.41,72300,72900,72000,6916,502,622623,8564271
75,삼양홀딩스우,KOSPI,,54100,-300,-0.55,54400,54400,54100,50,3,16450,304058
2810,삼영무역,KOSPI,,12660,-120,-0.94,12780,12780,12650,3060,39,233792,18466948
361670,삼영에스앤씨,KOSDAQ,기술성장기업부,8140,-120,-1.45,8260,8300,8140,9985,82,46135,5667658
54540,삼영엠텍,KOSDAQ,중견기업부,3865,15,0.39,3870,3930,3815,40132,155,50245,13000000
65570,삼영이엔씨,KOSDAQ,벤처기업부,4900,-95,-1.9,4995,4995,4820,9825,48,52891,10794010
